Category,Activity,Start_Time
Social,Parties/Gatherings,21.62
Academic,Classes/Lectures,9.3
Personal,Errands/Chores,18.13
Social,Family Events,14.12
Well-being,Meditation/Yoga,13.14
Academic,Classes/Lectures,9.77
Work,Part-time Job Shifts,10.24
Well-being,Meditation/Yoga,14.94
Personal,Birthdays/Anniversaries,14.82
Extracurricular,Sports Practices/Games,16.97
Academic,Classes/Lectures,8.19
Academic,Exams/Quizzes,19.88
Extracurricular,Sports Practices/Games,16.78
Extracurricular,Volunteer Activities,14.25
Academic,Classes/Lectures,8.0
Personal,Doctor/Dentist Appointments,10.48
Social,Family Events,14.47
Extracurricular,Club Meetings,20.34
Personal,Birthdays/Anniversaries,14.13
Personal,Errands/Chores,19.79
Academic,Classes/Lectures,11.19
Well-being,Exercise,6.29
Work,Work Meetings,16.03
Well-being,Exercise,7.43
Personal,Birthdays/Anniversaries,14.13
Social,Parties/Gatherings,21.16
Work,Work Meetings,16.64
Social,Parties/Gatherings,21.6
Extracurricular,Volunteer Activities,14.91
Work,Part-time Job Shifts,10.73
Social,Family Events,14.12
Extracurricular,Sports Practices/Games,17.35
Social,Family Events,14.87
Academic,Exams/Quizzes,18.3
Extracurricular,Volunteer Activities,14.37
Well-being,Exercise,6.62
Work,Part-time Job Shifts,10.61
Personal,Errands/Chores,19.18
Personal,Birthdays/Anniversaries,14.5
Extracurricular,Sports Practices/Games,16.44
Work,Work Meetings,16.84
Personal,Doctor/Dentist Appointments,11.71
Extracurricular,Volunteer Activities,14.5
Social,Parties/Gatherings,21.89
Social,Parties/Gatherings,22.74
Personal,Birthdays/Anniversaries,14.45
Work,Work Meetings,16.98
Work,Work Meetings,15.27
Extracurricular,Sports Practices/Games,16.62
Personal,Doctor/Dentist Appointments,9.01
Work,Work Meetings,16.81
Work,Part-time Job Shifts,12.17
Extracurricular,Club Meetings,19.77
Work,Work Meetings,15.06
Social,Parties/Gatherings,22.05
Well-being,Meditation/Yoga,14.22
Extracurricular,Club Meetings,20.94
Social,Family Events,14.7
Extracurricular,Club Meetings,20.27
Extracurricular,Volunteer Activities,14.3
Academic,Classes/Lectures,11.21
Work,Work Meetings,16.34
Social,Family Events,14.15
Extracurricular,Volunteer Activities,14.72
Work,Part-time Job Shifts,9.82
Well-being,Exercise,7.16
Extracurricular,Sports Practices/Games,17.88
Extracurricular,Club Meetings,20.56
Work,Part-time Job Shifts,9.54
Well-being,Meditation/Yoga,14.59
Personal,Birthdays/Anniversaries,14.3
Work,Work Meetings,15.16
Social,Parties/Gatherings,21.35
Academic,Classes/Lectures,10.34
Well-being,Meditation/Yoga,13.51
Personal,Doctor/Dentist Appointments,11.78
Work,Part-time Job Shifts,9.81
Well-being,Exercise,7.35
Social,Family Events,14.25
Work,Part-time Job Shifts,12.92
Work,Part-time Job Shifts,12.31
Personal,Birthdays/Anniversaries,14.16
Well-being,Exercise,7.41
Well-being,Meditation/Yoga,13.43
Academic,Classes/Lectures,11.85
Academic,Study Sessions,13.9
Work,Part-time Job Shifts,12.81
Personal,Doctor/Dentist Appointments,11.93
Social,Family Events,14.01
Work,Part-time Job Shifts,9.23
Social,Parties/Gatherings,21.05
Personal,Doctor/Dentist Appointments,10.83
Work,Part-time Job Shifts,11.72
Work,Part-time Job Shifts,12.33
Work,Work Meetings,16.71
Personal,Birthdays/Anniversaries,14.06
Academic,Classes/Lectures,9.02
Extracurricular,Club Meetings,20.65
Social,Family Events,14.37
Extracurricular,Club Meetings,20.27
Social,Family Events,14.79
Personal,Doctor/Dentist Appointments,11.91
Extracurricular,Club Meetings,19.98
Personal,Birthdays/Anniversaries,14.97
Extracurricular,Club Meetings,19.92
Personal,Doctor/Dentist Appointments,11.99
Extracurricular,Club Meetings,20.34
Personal,Doctor/Dentist Appointments,11.2
Extracurricular,Sports Practices/Games,17.12
Personal,Birthdays/Anniversaries,14.76
Academic,Exams/Quizzes,18.96
Extracurricular,Club Meetings,20.36
Academic,Classes/Lectures,9.74
Well-being,Meditation/Yoga,13.38
Social,Family Events,14.69
Social,Family Events,14.71
Personal,Errands/Chores,19.61
Work,Part-time Job Shifts,11.28
Personal,Errands/Chores,18.92
Extracurricular,Club Meetings,20.71
Social,Family Events,14.78
Well-being,Meditation/Yoga,13.34
Personal,Errands/Chores,19.07
Well-being,Meditation/Yoga,13.76
Well-being,Meditation/Yoga,14.1
Academic,Study Sessions,13.05
Work,Work Meetings,15.84
Well-being,Exercise,7.44
Academic,Exams/Quizzes,18.65
Work,Part-time Job Shifts,11.22
Social,Parties/Gatherings,22.19
Social,Parties/Gatherings,21.3
Social,Family Events,14.97
Academic,Classes/Lectures,8.7
Well-being,Exercise,7.06
Work,Part-time Job Shifts,10.27
Personal,Birthdays/Anniversaries,14.62
Personal,Errands/Chores,18.46
Well-being,Exercise,6.97
Social,Parties/Gatherings,21.01
Extracurricular,Sports Practices/Games,17.21
Work,Work Meetings,16.73
Well-being,Exercise,6.03
Personal,Doctor/Dentist Appointments,11.44
Work,Part-time Job Shifts,12.81
Personal,Doctor/Dentist Appointments,9.18
Academic,Exams/Quizzes,18.48
Well-being,Meditation/Yoga,14.18
Personal,Doctor/Dentist Appointments,9.32
Well-being,Meditation/Yoga,14.53
Well-being,Exercise,6.89
Extracurricular,Club Meetings,20.36
Social,Parties/Gatherings,22.91
Extracurricular,Club Meetings,19.49
Work,Work Meetings,15.0
Well-being,Meditation/Yoga,14.83
Academic,Exams/Quizzes,19.69
Well-being,Exercise,7.75
Personal,Doctor/Dentist Appointments,9.21
Extracurricular,Sports Practices/Games,17.93
Academic,Classes/Lectures,8.39
Academic,Classes/Lectures,8.22
Social,Family Events,14.43
Extracurricular,Club Meetings,19.67
Work,Part-time Job Shifts,9.41
Personal,Errands/Chores,18.64
Social,Family Events,14.48
Social,Family Events,14.15
Social,Family Events,14.95
Social,Family Events,14.09
Personal,Doctor/Dentist Appointments,10.03
Social,Family Events,14.71
Academic,Exams/Quizzes,18.08
Social,Parties/Gatherings,21.69
Extracurricular,Volunteer Activities,14.49
Academic,Classes/Lectures,10.12
Social,Parties/Gatherings,22.32
Social,Parties/Gatherings,21.68
Work,Part-time Job Shifts,12.25
Well-being,Exercise,6.5
Extracurricular,Volunteer Activities,14.15
Well-being,Exercise,7.67
Personal,Birthdays/Anniversaries,14.18
Social,Family Events,14.46
Social,Family Events,14.33
Work,Part-time Job Shifts,10.17
Social,Parties/Gatherings,21.75
Academic,Classes/Lectures,8.2
Extracurricular,Volunteer Activities,14.84
Social,Family Events,14.97
Extracurricular,Club Meetings,19.62
Social,Parties/Gatherings,22.98
Extracurricular,Club Meetings,19.15
Social,Parties/Gatherings,21.44
Well-being,Meditation/Yoga,13.62
Academic,Classes/Lectures,8.95
Work,Work Meetings,15.04
Work,Part-time Job Shifts,10.3
Well-being,Meditation/Yoga,14.6
Work,Part-time Job Shifts,12.68
Extracurricular,Sports Practices/Games,17.9
Extracurricular,Sports Practices/Games,17.35
